CICLO,RMP,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,EJERCIDO_MDP
2008,01K025,1,Poder Legislativo,K,Proyectos de inversión,25,Proyectos de inmuebles (oficinas administrativas),890
2008,01K027,1,Poder Legislativo,K,Proyectos de inversión,27,Mantenimiento de infraestructura,17.881877
2008,01R001,1,Poder Legislativo,R,Otras actividades relevantes,1,Actividades derivadas del trabajo legislativo,6867.115544
2008,01R002,1,Poder Legislativo,R,Otras actividades relevantes,2,Presentar el informe de resultados,1173.422561
2008,01R301,1,Poder Legislativo,R,Otras actividades relevantes,301,Actividades derivadas del trabajo legislativo (Ampliaciones determinadas por la Cámara de Diputados),370.042981
2008,02K027,2,Presidencia de la República,K,Proyectos de inversión,27,Mantenimiento de infraestructura,0
2008,02M001,2,Presidencia de la República,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1,Actividades de apoyo administrativo,67.898626
2008,02O001,2,Presidencia de la República,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,1,Actividades de apoyo a la función pública y buen gobierno,11.239789
2008,02P001,2,Presidencia de la República,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",1,"Asesoramiento, coordinación, difusión y apoyo de las acciones en materia de seguridad nacional a cargo del Consejo de Seguridad Nacional",21.683791
2008,02P002,2,Presidencia de la República,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",2,"Asesoraría, coordinación, difusión y apoyo técnico de las actividades del Presidente de la República",2033.258702
2008,02P003,2,Presidencia de la República,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",3,Atención y seguimiento a las solicitudes y demandas de la ciudadanía.,37.667528
2008,03R001,3,Poder Judicial,R,Otras actividades relevantes,1,Otras Actividades,29977.812395
2008,04E001,4,Gobernación,E,Prestación de servicios públicos,1,Servicios de inteligencia para la Seguridad Nacional,1727.65446
2008,04E002,4,Gobernación,E,Prestación de servicios públicos,2,Preservación y difusión del acervo documental de la Nación y de las Revoluciones de México,78.480626
2008,04E004,4,Gobernación,E,Prestación de servicios públicos,4,Producción de programas informativos de radio y televisión del Ejecutivo Federal,68.303927
2008,04E005,4,Gobernación,E,Prestación de servicios públicos,5,"Monitoreo de contenidos en cine, radio, televisión y editorial",36.875833
2008,04E006,4,Gobernación,E,Prestación de servicios públicos,6,Atención a refugiados en el país,11.735652
2008,04E007,4,Gobernación,E,Prestación de servicios públicos,7,Programa de protección a migrantes (Grupos Beta),37.183761
2008,04E008,4,Gobernación,E,Prestación de servicios públicos,8,"Servicios migratorios en fronteras, puertos y aeropuertos",1879.33418
2008,04E009,4,Gobernación,E,Prestación de servicios públicos,9,Coordinación y operación del Sistema Nacional de Protección Civil,307.599787
2008,04E010,4,Gobernación,E,Prestación de servicios públicos,10,Impartición de justicia laboral para los trabajadores al servicio del Estado,180.92036
2008,04K015,4,Gobernación,K,Proyectos de inversión,15,Proyectos de infraestructura gubernamental de gobernación,437.529527
2008,04M001,4,Gobernación,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1,Actividades de apoyo administrativo,499.72764
2008,04O001,4,Gobernación,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,1,Actividades de apoyo a la función pública y buen gobierno,35.748255
2008,04O099,4,Gobernación,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,99,Operación del Servicio Profesional de Carrera en la Administración Pública Federal Centralizada,0
2008,04P001,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",1,"Conducción de la política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",523.370148
2008,04P002,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",2,Actividades para contribuir al desarrollo político y cívico social del país,77.724143
2008,04P003,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",3,Promoción de la protección de los derechos humanos y prevención de la discriminación,121.174946
2008,04P004,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",4,Divulgación de las acciones en materia de derechos humanos.,16.093268
2008,04P005,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",5,Conducción de la política de comunicación social de la Administración Pública Federal y la relación con los medios de comunicación,169.58607
2008,04P006,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",6,Planeación demográfica del país,49.215219
2008,04P007,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",7,Administración del Servicio Nacional de Identificación Personal,112.269816
2008,04P008,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",8,Conducción de la relación del Estado con las asociaciones religiosas,21.701994
2008,04P009,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",9,Defensa jurídica de la Secretaría de Gobernación y compilación jurídica nacional y testamentaria ciudadana,84.177402
2008,04R001,4,Gobernación,R,Otras actividades relevantes,1,Pago a trabajadores jubilados de Talleres Gráficos de la Nación,0.837239
2008,04R002,4,Gobernación,R,Otras actividades relevantes,2,Fondo de Apoyo Social para Ex Trabajadores Migratorios mexicanos en Estados Unidos,300
2008,04R003,4,Gobernación,R,Otras actividades relevantes,3,Programa para el Registro Público de Propiedad Único,0
2008,04R005,4,Gobernación,R,Otras actividades relevantes,5,Programa de Integración del Registro Nacional de Población,0
2008,04R006,4,Gobernación,R,Otras actividades relevantes,6,Programa de Modernización Integral del Registro Civil,42.1
2008,04R007,4,Gobernación,R,Otras actividades relevantes,7,Programa para la adopción y uso de la CURP,0.11891
2008,04R008,4,Gobernación,R,Otras actividades relevantes,8,Plan de Emergencias Radiológicas Externas (PERE),1.146304
2008,04R009,4,Gobernación,R,Otras actividades relevantes,9,Programa para el Fondo de Desastres Naturales (FONDEN),18.954222
2008,04R010,4,Gobernación,R,Otras actividades relevantes,10,"Conducción de Proyectos y Programas públicos a cargo de otras Secretarías de Estado, dirigidos al Estado de Chiapas, principalmente en el area de conflicto",0.397318
2008,04R302,4,Gobernación,R,Otras actividades relevantes,302,Fondo de Apoyo Social para Ex Trabajadores Migratorios mexicanos en Estados Unidos (Ampliaciones determinadas por la Cámara de Diputados),400
